yourlist:M20201208E5A08BB0B2D1C45B0C7BC3B55FD2655607611FW	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
1433B_HUMAN	P31946	1433B_HUMAN	reviewed	14-3-3 protein beta/alpha (Protein 1054) (Protein kinase C inhibitor protein 1) (KCIP-1) [Cleaved into: 14-3-3 protein beta/alpha, N-terminally processed]	YWHAB	Homo sapiens (Human)	246
1433E_HUMAN	P62258	1433E_HUMAN	reviewed	14-3-3 protein epsilon (14-3-3E)	YWHAE	Homo sapiens (Human)	255
1433G_HUMAN	P61981	1433G_HUMAN	reviewed	14-3-3 protein gamma (Protein kinase C inhibitor protein 1) (KCIP-1) [Cleaved into: 14-3-3 protein gamma, N-terminally processed]	YWHAG	Homo sapiens (Human)	247
AKP13_HUMAN	Q12802	AKP13_HUMAN	reviewed	A-kinase anchor protein 13 (AKAP-13) (AKAP-Lbc) (Breast cancer nuclear receptor-binding auxiliary protein) (Guanine nucleotide exchange factor Lbc) (Human thyroid-anchoring protein 31) (Lymphoid blast crisis oncogene) (LBC oncogene) (Non-oncogenic Rho GTPase-specific GTP exchange factor) (Protein kinase A-anchoring protein 13) (PRKA13) (p47)	AKAP13 BRX HT31 LBC	Homo sapiens (Human)	2813
BAD_HUMAN	Q92934	BAD_HUMAN	reviewed	Bcl2-associated agonist of cell death (BAD) (Bcl-2-binding component 6) (Bcl-2-like protein 8) (Bcl2-L-8) (Bcl-xL/Bcl-2-associated death promoter) (Bcl2 antagonist of cell death)	BAD BBC6 BCL2L8	Homo sapiens (Human)	168
BID_HUMAN	P55957	BID_HUMAN	reviewed	BH3-interacting domain death agonist (p22 BID) (BID) [Cleaved into: BH3-interacting domain death agonist p15 (p15 BID); BH3-interacting domain death agonist p13 (p13 BID); BH3-interacting domain death agonist p11 (p11 BID)]	BID	Homo sapiens (Human)	195
BRAF1_HUMAN	P15056	BRAF_HUMAN	reviewed	Serine/threonine-protein kinase B-raf (EC 2.7.11.1) (Proto-oncogene B-Raf) (p94) (v-Raf murine sarcoma viral oncogene homolog B1)	BRAF BRAF1 RAFB1	Homo sapiens (Human)	766
CBL_HUMAN	P22681	CBL_HUMAN	reviewed	E3 ubiquitin-protein ligase CBL (EC 2.3.2.27) (Casitas B-lineage lymphoma proto-oncogene) (Proto-oncogene c-Cbl) (RING finger protein 55) (RING-type E3 ubiquitin transferase CBL) (Signal transduction protein CBL)	CBL CBL2 RNF55	Homo sapiens (Human)	906
DYR1A_HUMAN	Q13627	DYR1A_HUMAN	reviewed	Dual specificity tyrosine-phosphorylation-regulated kinase 1A (EC 2.7.12.1) (Dual specificity YAK1-related kinase) (HP86) (Protein kinase minibrain homolog) (MNBH) (hMNB)	DYRK1A DYRK MNB MNBH	Homo sapiens (Human)	763
E41L3_HUMAN	Q9Y2J2	E41L3_HUMAN	reviewed	Band 4.1-like protein 3 (4.1B) (Differentially expressed in adenocarcinoma of the lung protein 1) (DAL-1) (Erythrocyte membrane protein band 4.1-like 3) [Cleaved into: Band 4.1-like protein 3, N-terminally processed]	EPB41L3 DAL1 KIAA0987	Homo sapiens (Human)	1087
GEM_HUMAN	P55040	GEM_HUMAN	reviewed	GTP-binding protein GEM (GTP-binding mitogen-induced T-cell protein) (RAS-like protein KIR)	GEM KIR	Homo sapiens (Human)	296
IGF1R_HUMAN	P08069	IGF1R_HUMAN	reviewed	Insulin-like growth factor 1 receptor (EC 2.7.10.1) (Insulin-like growth factor I receptor) (IGF-I receptor) (CD antigen CD221) [Cleaved into: Insulin-like growth factor 1 receptor alpha chain; Insulin-like growth factor 1 receptor beta chain]	IGF1R	Homo sapiens (Human)	1367
INSR_HUMAN	P06213	INSR_HUMAN	reviewed	Insulin receptor (IR) (EC 2.7.10.1) (CD antigen CD220) [Cleaved into: Insulin receptor subunit alpha; Insulin receptor subunit beta]	INSR	Homo sapiens (Human)	1382
ITB1_HUMAN	P05556	ITB1_HUMAN	reviewed	Integrin beta-1 (Fibronectin receptor subunit beta) (Glycoprotein IIa) (GPIIA) (VLA-4 subunit beta) (CD antigen CD29)	ITGB1 FNRB MDF2 MSK12	Homo sapiens (Human)	798
KCNK3_HUMAN	O14649	KCNK3_HUMAN	reviewed	Potassium channel subfamily K member 3 (Acid-sensitive potassium channel protein TASK-1) (TWIK-related acid-sensitive K(+) channel 1) (Two pore potassium channel KT3.1) (Two pore K(+) channel KT3.1)	KCNK3 TASK TASK1	Homo sapiens (Human)	394
KCNK9_HUMAN	Q9NPC2	KCNK9_HUMAN	reviewed	Potassium channel subfamily K member 9 (Acid-sensitive potassium channel protein TASK-3) (TWIK-related acid-sensitive K(+) channel 3) (Two pore potassium channel KT3.2) (Two pore K(+) channel KT3.2)	KCNK9 TASK3	Homo sapiens (Human)	374
KCNKF_HUMAN	Q9H427	KCNKF_HUMAN	reviewed	Potassium channel subfamily K member 15 (Acid-sensitive potassium channel protein TASK-5) (TWIK-related acid-sensitive K(+) channel 5) (Two pore potassium channel KT3.3) (Two pore K(+) channel KT3.3)	KCNK15 TASK5	Homo sapiens (Human)	330
LYST_HUMAN	Q99698	LYST_HUMAN	reviewed	Lysosomal-trafficking regulator (Beige homolog)	LYST CHS CHS1	Homo sapiens (Human)	3801
MARK4_HUMAN	Q96L34	MARK4_HUMAN	reviewed	MAP/microtubule affinity-regulating kinase 4 (EC 2.7.11.1) (MAP/microtubule affinity-regulating kinase-like 1)	MARK4 KIAA1860 MARKL1	Homo sapiens (Human)	752
MPIP1_HUMAN	P30304	MPIP1_HUMAN	reviewed	M-phase inducer phosphatase 1 (EC 3.1.3.48) (Dual specificity phosphatase Cdc25A)	CDC25A	Homo sapiens (Human)	524
MPIP2_HUMAN	P30305	MPIP2_HUMAN	reviewed	M-phase inducer phosphatase 2 (EC 3.1.3.48) (Dual specificity phosphatase Cdc25B)	CDC25B CDC25HU2	Homo sapiens (Human)	580
PARD3_HUMAN	Q8TEW0	PARD3_HUMAN	reviewed	Partitioning defective 3 homolog (PAR-3) (PARD-3) (Atypical PKC isotype-specific-interacting protein) (ASIP) (CTCL tumor antigen se2-5) (PAR3-alpha)	PARD3 PAR3 PAR3A	Homo sapiens (Human)	1356
PDE3B_HUMAN	Q13370	PDE3B_HUMAN	reviewed	cGMP-inhibited 3',5'-cyclic phosphodiesterase B (EC 3.1.4.17) (CGIPDE1) (CGIP1) (Cyclic GMP-inhibited phosphodiesterase B) (CGI-PDE B)	PDE3B	Homo sapiens (Human)	1112
PTN3_HUMAN	P26045	PTN3_HUMAN	reviewed	Tyrosine-protein phosphatase non-receptor type 3 (EC 3.1.3.48) (Protein-tyrosine phosphatase H1) (PTP-H1)	PTPN3 PTPH1	Homo sapiens (Human)	913
Q59FL5_HUMAN	Q59FL5	Q59FL5_HUMAN	unreviewed	Ras inhibitor RIN1 variant (Fragment)		Homo sapiens (Human)	651
